"Estudiantes, Nuevos Inscriptos, Reinscriptos y Egresados de títulos de pregrado, grado y posgrado por género, carrera, unidad académica y por tipo de institución. Año 2017,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tipo de Institución,Institución,Unidad Académica,Carrera,Título,Gestión,Nivel de la Oferta,Total de Estudiantes,Estudiantes Varones,Estudiantes Mujeres,Total de Nuevos Inscriptos,Nuevos Inscriptos Varones,Nuevos Inscriptos Mujeres,Total de Reinscriptos,Reinscriptos Varones,Reinscriptos Mujeres,Total de Egresados,Egresados Varones,Egresados Mujeres
Universidad,Universidad Nacional de las Artes,Área transdepartamental de Formación Docente,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor/a de Artes en Música,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de las Artes,Área transdepartamental de Formación Docente,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor/a de Artes en Teatro,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de las Artes,Área transdepartamental de Formación Docente,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor/a de Artes en Artes Visuales con Orientación en Cerámica,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de San Antonio de Areco,Escuela de Desarrollo Productivo y Tecnológico,Producción e Ingeniería Agropecuaria,Ingeniero en Producción Agropecuaria,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Nacional de Rafaela,Secretaría Académica,Tecnología y Ciencias Aplicadas,Licenciado/a en Gestión de la Tecnología,Público,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería del Rosario,Química,Licenciado en Química,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Sociología,Licenciado en Sociología,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Química e Ingeniería del Rosario,Higiene y Seguridad Industrial,Licenciado en Higiene y Seguridad en el Trabajo,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Médicas,Nutrición,Licenciado en Nutrición,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades y Ciencias Sociales - Sede Mar del Plata,Inglés,Traductor Público,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad Teresa de Ávila,Relaciones Institucionales y Humanas,Licenciado en Recursos Humanos,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad Teresa de Ávila,Educación Especial,Licenciado en Educación Especial,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Derecho Canónico,Derecho y Ciencias Jurídicas,Licenciado en Derecho Canónico,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración - Sede Mar del Plata,Gestión y Administración de Empresas,Licenciado en Administración de Negocios,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración,Gestión y Administración de Empresas,Licenciado en Administración de Negocios,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades y Ciencias Sociales - Sede Mar del Plata,Relaciones Públicas,Licenciado en Relaciones Públicas e Institucionales,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades y Ciencias Sociales - Sede Mar del Plata,Administración Hotelera,Licenciado en Administración Hotelera,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades - Sede Mar del Plata,Turismo y Hotelería,Licenciado en Turismo,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración - Sede Mar del Plata,Comercio Exterior,Licenciado en Comercio Internacional,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración - Sede Mar del Plata,Comercialización y Marketing,Licenciado en Marketing,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración,Comercialización y Marketing,Licenciado en Marketing,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración,Gestión y Administración de Empresas,Licenciado en Administración de Recursos Humanos,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades y Ciencias Sociales - Sede Mar del Plata,Sociología,Licenciado en Sociología,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades - Sede Mar del Plata,Administración Hotelera,Licenciado en Administración Hotelera,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades y Ciencias Sociales - Sede Mar del Plata,Publicidad,Licenciado en Publicidad,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración - Sede Mar del Plata,Gestión y Administración de Empresas,Licenciado en Administración Agraria,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Administración - Sede Mar del Plata,Contador Público Nacional,Contador Público,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad CAECE,Departamento de Humanidades y Ciencias Sociales - Sede Mar del Plata,Turismo y Hotelería,Licenciado en Turismo,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Cuyo,Escuela de Seguridad,Criminología,Licenciado en Seguridad Ciudadana,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Salta,Escuela Universitaria en Ciencias de la Salud,Fonoaudiología,Licenciado en Fonoaudiología,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Salta,Facultad de Ciencias Jurídicas,Ciencia Política,Licenciado en Ciencias Políticas,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santa Fe,Facultad de Ciencias Agropecuarias,Veterinaria,Veterinario,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santa Fe,Facultad de Ciencias de la Salud - Reconquista,Kinesiología,Licenciado en Kinesiología y Fisiatría,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santa Fe,Facultad de Humanidades,Artes Audiovisuales,Profesor Universitario en Artes Visuales,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,Fonoaudiología,Licenciado en Fonoaudiología,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,"Facultad de Ciencias Políticas, Sociales y Jurídicas",Teología,Bachiller en Teología,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,Ciencia Política,Licenciado en Ciencias Políticas,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Facultad de Ciencias de la Salud,Educación Física y Deportes,Licenciado en Educación Física y Deporte - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,Ciencias de la Educación,Licenciado en Educación Especial - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Departamento Académico Buenos Aires,Comercialización y Marketing,Licenciado en Comercialización,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Departamento Académico San Salvador,Educación Física y Deportes,Licenciado en Educación Física y Deporte,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad Católica de Santiago del Estero,Facultad de Ciencias para la Innovación y el Desarrollo,Ciencias de la Educación,Licenciado en Ciencias de la Educación - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de Concepción del Uruguay,Unidad Académica Venado Tuerto,Educación Física y Deportes,Licenciado en Educación Física - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de Concepción del Uruguay,Unidad Académica Venado Tuerto,Educación Inicial,Licenciado en Gestión de la Educación Inicial - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de Concepción del Uruguay,Unidad Académica Venado Tuerto,Formación Docente de Nivel Superior y Universitario,Profesor de Enseñanza Superior - Ciclo de Profesorado,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad de Concepción del Uruguay,Unidad Académica Venado Tuerto,Educación Básica,Licenciado en Gestión de la Educación Primaria - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Facultad de Medicina,Música,Licenciado en Musicoterapia,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Norte Santo Tomás de Aquino,Facultad de Filosofía,Filosofía,Licenciado en Filosofía,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Norte Santo Tomás de Aquino,Facultad de Filosofía,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas,Profesor en Filosofía,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Carrera No Definida,Ciclo Básico Unificado,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Servicio Social,Licenciado en Servicio Social,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Higiene y Seguridad Industrial,Licenciado en Higiene y Seguridad en el Trabajo,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Facultad de Ciencias de la Educación y de la Comunicación Social,Educación Especial,Licenciado en Educación Especial,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,Psicopedagogía,Licenciado en Psicopedagogía - Ciclo de Licenciatura,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Facultad de Ingeniería,"Computación, Sistemas e Informática",Licenciado en Sistemas de Información,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Complejo Educativo Nuestra Señora del Pilar,"Computación, Sistemas e Informática",Licenciado en Sistemas de Información,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
Universidad,Universidad del Salvador,Escuela de Estudios Orientales,Historia,Licenciado en Estudios Orientales,Privado,Grado,0,0,0,0,0,0,0,0,0,0,0,0
